CASE,QUESTNNR,MODE,STARTED,DE01,DE02,DE03,DE04,DEMO_4,DEMO_3,DEMO_6,DEMO_5,DEMO_9,DEMO_7,DEMO_7_1,DEMO_8,DEMO_8_1,DEMO_1,DEMO_2,BJC_01,BJC_02,BJC_03,BJC_04,BJC_05,BJC_06,BJC_07,BJC_08,BJC_09,BJC_10,BJC_11,BJC_12,STH_01,STH_02,STH_03,STH_04,STH_05,STH_06,STH_07,STH_08,MNC_01,VBC_01,VBC_02,VBC_03,VBC_04,VBC_05,VBC_06,VBC_07,VBC_08,VC_01,VC_02,group,identity_threat,religious_endorse,ATT_CHECK,BL_01,BL_02,BL_03,BL_04,BL_05,TIME001,TIME002,TIME003,TIME005,TIME006,TIME007,TIME008,TIME009,TIME010,TIME011,TIME012,TIME013,TIME014,TIME015,TIME_SUM,MAILSENT,LASTDATA,FINISHED,Q_VIEWER,LASTPAGE,MAXPAGE,MISSING,MISSREL,TIME_RSI,DEG_TIME
44,base,interview,7/4/2020 6:21,1,2,1,1,2,34,4,5,1,1,,1,,1,2,4,5,4,2,2,2,2,2,4,2,2,2,2,4,5,2,2,2,1,1,1,2,2,2,2,2,2,3,2,7,7,1,1,1,4,3,2,4,4,2,39,10,53,14,35,20,,11,38,39,6,56,43,62,426,,7/4/2020 6:28,1,0,15,15,0,0,1.32,19
45,base,interview,7/4/2020 6:22,1,2,1,1,2,31,3,2,2,1,,1,,3,2,3,3,6,4,3,5,6,4,4,6,4,4,6,4,7,5,5,6,4,5,4,5,4,4,5,5,5,5,4,2,2,1,1,1,4,2,3,3,2,2,25,24,208,11,89,3,,12,79,73,16,163,41,11,755,,7/4/2020 6:34,1,0,15,15,0,0,1.23,40
46,base,interview,7/4/2020 6:22,1,2,1,1,2,21,15,2,6,1,,6,Demak,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,2,4,2,1,1,1,1,1,1,1,1,1,1,1,1,1,7,7,3,-1,1,4,3,2,3,2,2,20,12,67,,33,6,,9,33,31,10,51,12,12,296,,7/4/2020 6:27,1,0,15,15,0,0,1.8,44
47,base,interview,7/4/2020 6:23,1,2,1,1,2,32,3,4,4,4,,1,,3,3,2,2,2,2,4,2,2,2,2,2,2,2,7,4,4,4,4,4,2,2,2,2,2,2,2,2,2,2,2,6,6,1,1,1,5,3,1,5,1,4,11,18,44,5,144,10,,20,47,46,10,54,20,3,432,,7/4/2020 6:30,1,0,15,15,0,0,1.65,80
71,base,interview,7/4/2020 6:32,1,2,1,1,1,34,11,4,1,17,Komering,5,,1,5,2,5,4,3,2,3,2,3,2,2,2,2,2,1,5,2,2,5,1,2,3,2,1,2,1,1,1,1,1,1,1,2,-1,-1,4,5,5,5,3,5,11,6,58,,30,,5,9,34,36,5,64,14,9,281,,7/4/2020 6:36,1,0,15,15,0,0,2.05,68
73,base,interview,7/4/2020 6:32,1,2,1,1,2,37,10,4,4,1,,1,,1,2,4,4,5,4,4,4,4,4,6,4,3,3,6,3,7,3,6,2,1,1,1,4,2,2,2,2,2,1,1,6,6,4,1,-1,4,4,4,4,4,4,22,11,90,26,87,,5,16,52,40,6,53,21,218,460,,7/4/2020 6:43,1,0,15,15,0,0,1.27,30
80,base,interview,7/4/2020 6:37,1,2,1,1,2,24,15,4,2,1,,3,,1,3,3,3,3,3,3,3,3,3,3,3,3,3,-1,-1,4,-1,-1,-1,-1,-1,-1,3,-1,-1,-1,-1,-1,-1,-1,7,7,3,-1,1,4,3,3,3,3,2,18,8,66,,44,20,,7,40,41,12,81,26,14,377,,7/4/2020 6:43,1,0,15,15,0,0,1.43,23
89,base,interview,7/4/2020 6:48,1,2,1,1,2,55,10,6,1,1,,1,,3,1,7,4,7,3,4,4,6,4,6,2,4,3,2,3,6,7,2,4,2,2,2,6,1,3,4,5,5,2,2,6,6,2,-1,-1,4,3,3,3,3,3,12,15,83,,54,,44,35,108,34,11,94,42,36,568,,7/4/2020 6:57,1,0,15,15,0,0,1.03,10
94,base,interview,7/4/2020 6:51,1,2,1,1,2,41,10,4,2,1,,6,Tangerang Selatan,3,6,2,3,4,1,1,1,4,1,1,1,1,1,1,1,3,1,1,1,1,1,3,1,1,1,1,1,1,1,1,7,7,2,-1,-1,4,5,5,5,3,5,64,9,97,,31,,31,9,38,29,8,78,28,22,444,,7/4/2020 6:58,1,0,15,15,0,0,1.26,15
97,base,interview,7/4/2020 6:55,1,2,1,1,1,25,5,2,6,1,,1,,2,5,3,5,5,5,3,1,2,1,1,2,1,1,2,1,6,1,2,3,1,1,1,1,1,1,1,1,1,1,1,7,7,4,1,-1,4,5,4,5,4,4,80,17,129,26,65,,27,32,56,28,8,83,18,41,610,,7/4/2020 7:05,1,0,15,15,0,0,0.99,7
